,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
37907,0.0679266159,47844.2063293592,68412968.62399894,24.71,0
37909,0.0358129403,59382.4817339593,971400.080639895,26.1,0
37914,0.0748238376,45168.9810815182,22140164.51583969,24.5,0
37917,1.1325046106,37770.2002608908,21999743.96653144,18.6,1
37921,0.258249791,26282.0990725002,29749149.71293008,21.81,0
37922,0.1563291544,73061.2657597417,45486831.42513243,22.9,0
37927,0.411187571,75702.2091613214,64590731.19734764,20.8,0
37928,0.1599705282,11924.4058557804,74614553.66549289,22.85,0
37929,2.2286402963,48061.5876694861,31035522.42413592,17.13,0
37937,0.0651688382,59362.9000932118,25619799.931716885,24.8,0
37944,0.0392681082,57964.8925482066,48667060.63176632,25.9,0
37952,0.0326617897,71763.2614477498,28617457.75855324,26.3,0
37953,0.0342010925,96053.5905515122,60333039.98228168,26.2,0
37954,0.0284472297,63043.2519904519,42720926.20536292,26.6,0
37957,0.3532156834,102248.756749436,70383208.95410092,21.13,1
37958,0.0682401509,50805.019552513,15336106.904612985,24.7,0
37960,0.3926810818,53671.2256991153,60017888.92633619,20.9,0
37965,0.0171411509,24459.4010744411,1116587.236960389,27.7,0
37984,0.0783501764,33411.7322083485,9517929.071541768,24.4,0
37985,0.0450858206,37603.1816431762,9975665.8366876,25.6,0
37986,0.0941976306,87996.1121699724,1866787.867875794,24.0,0
37987,0.1241766613,70751.5028856083,24046720.04533673,23.4,0
37989,0.1066694311,21709.319536996,24976276.240397006,23.73,0
37990,0.0542050786,28076.9289312759,8060398.430351746,25.2,0
37991,0.5943468684,50806.9432741302,12265593.224630704,20.0,0
37993,0.9863702813,80577.0275529787,36870902.96507204,18.9,0
38000,0.0517654482,25014.1007046239,5333013.839318946,25.3,0
38001,0.0820427065,86998.0952936048,5629241.572537933,24.3,0
38003,0.1032856481,79677.5806647702,11205169.620722923,23.8,0
38005,0.0494356193,35322.5146462218,29707022.80314021,25.4,0
38007,0.0714562102,65497.943770852,58648603.390857294,24.6,0
38014,3.8551384433,5582.7741227747,61165589.55821876,15.94,0
38018,0.0103285648,49597.3562502424,231422.130412218,28.8,0
38019,0.3750075218,46003.6971951178,45100442.95555739,21.0,0
38022,0.2366137501,92846.1435845234,44649101.85838895,22.0,1
38036,0.0284472297,55668.0980701548,47633567.81593338,26.6,0
38041,0.0494356193,29830.9488519363,3497056.117758268,25.4,0
38053,0.1714115092,26812.7186729306,15998691.832935711,22.7,0
38057,0.0353215683,93800.1658367948,72321366.16596782,26.13,0
38065,0.008590926,11943.8924917124,2544498.173080826,29.2,0
38066,0.1636967205,72925.7330832527,13040442.408435808,22.8,0
38070,0.3420109247,69209.8326088834,59873389.17222834,21.2,0
38073,0.2099133109,27310.5780559426,54738705.80112635,22.26,0
38077,0.1492931834,60554.4723000821,36133738.06815163,23.0,0
38085,0.0714562102,56015.7735984113,5118818.561867856,24.6,0
38088,0.0472106499,36254.8958324954,2841376.402717934,25.5,0
38096,1.2590413069,20903.3487391619,37574819.09211411,18.37,0
38098,0.8995803882,68185.2977966009,57157885.37475479,19.1,1
38099,0.0986370281,49246.671522227,13075590.398072733,23.9,0
38100,0.0297879063,23306.6702559212,2932723.510022233,26.5,0
38102,0.0941976306,79424.8468062491,8867616.957996609,24.0,0
38106,0.1425738833,85542.9679680361,66348766.81421655,23.1,0
38116,5.2971220406,69559.7212932718,55334045.185382605,15.25,1
38117,2.2184006242,14603.4664861124,47145987.218189135,17.14,0
38118,0.7482383761,67205.6398498594,43151474.3056256,19.5,0
38119,0.8512163929,87473.5368518351,60103119.39561024,19.22,0
38124,0.0941976306,33885.7548416079,23923340.174440388,24.0,0
38125,0.0358129403,62807.476187641,36469519.67267585,26.1,0
38126,0.7835017643,60430.6985673316,54020592.626784265,19.4,0
38134,0.0783501764,31853.5954278125,5418309.78758068,24.4,0
38136,0.0594346868,34815.2645295789,4402767.444565849,25.0,0
38139,0.1032856481,47806.1286299676,60016189.95828639,23.8,0
38142,0.9594889528,45790.9222006606,30322467.39313512,18.96,0
38145,0.023661375,26285.7698720956,6755770.380828533,27.0,0
38147,0.0594346868,23157.9759445912,7719723.434620467,25.0,0
38148,0.0783501764,75342.0083213293,73543214.45852335,24.4,0
38149,0.1081533507,56247.9967952032,49009402.32728685,23.7,0
38158,0.2594418179,30170.9212124882,35871898.53194763,21.8,0
38163,0.0899580388,28031.683973313,27620943.53157284,24.1,0
38164,0.0843412394,56302.8593653328,7850581.792796834,24.24,0
38171,1.1482593191,63961.3886667725,50439613.91409022,18.57,0
